Table Name,Row Count,Table Name,Row Count,
ohlc_231013,94245,ohlc_231013,94245,0
ohlc_231016,82855,ohlc_231016,82855,0
ohlc_231017,80288,ohlc_231017,80288,0
ohlc_231018,89211,ohlc_231018,89211,0
ohlc_231019,93989,ohlc_231019,93989,0
ohlc_231020,104953,ohlc_231020,104953,0
ohlc_231023,97912,ohlc_231023,97912,0
ohlc_231024,80122,ohlc_231024,80122,0
ohlc_231025,92938,ohlc_231025,92938,0
ohlc_231026,101940,ohlc_231026,101940,0
ohlc_231027,98277,ohlc_231027,98277,0
ohlc_231030,88633,ohlc_231030,88633,0
ohlc_231031,78718,ohlc_231031,78718,0
ohlc_231101,90980,ohlc_231101,90980,0
ohlc_231102,96596,ohlc_231102,96596,0
ohlc_231103,99411,ohlc_231103,99411,0
ohlc_231106,77261,ohlc_231106,77261,0
ohlc_231107,75845,ohlc_231107,75845,0
ohlc_231108,73682,ohlc_231108,73682,0
ohlc_231109,78430,ohlc_231109,78430,0
ohlc_231110,94638,ohlc_231110,94638,0
ohlc_231113,77983,ohlc_231113,77983,0
ohlc_231114,105530,ohlc_231114,105530,0
ohlc_231115,77946,ohlc_231115,77946,0
ohlc_231116,68432,ohlc_231116,68432,0
ohlc_231117,70073,ohlc_231117,70073,0
ohlc_231120,83542,ohlc_231120,83542,0
ohlc_231121,61937,ohlc_231121,61937,0
ohlc_231122,68613,ohlc_231122,68613,0
ohlc_231124,36756,ohlc_231124,36756,0
ohlc_231127,64187,ohlc_231127,64187,0
ohlc_231128,66393,ohlc_231128,66393,0
ohlc_231129,72604,ohlc_231129,72604,0
ohlc_231130,67927,ohlc_231130,67927,0
ohlc_231201,84994,ohlc_231201,84994,0
ohlc_231204,76262,ohlc_231204,76262,0
ohlc_231205,64271,ohlc_231205,64271,0
ohlc_231206,70439,ohlc_231206,70439,0
ohlc_231207,66678,ohlc_231207,66678,0
ohlc_231208,82535,ohlc_231208,82535,0
ohlc_231211,74813,ohlc_231211,74813,0
ohlc_231212,72891,ohlc_231212,72891,0
ohlc_231213,93028,ohlc_231213,93028,0
ohlc_231214,93932,ohlc_231214,93932,0
ohlc_231215,77770,ohlc_231215,77770,0
ohlc_231218,75100,ohlc_231218,75100,0
ohlc_231219,70347,ohlc_231219,70347,0
ohlc_231220,86530,ohlc_231220,86530,0
ohlc_231221,77080,ohlc_231221,77080,0
ohlc_231222,73089,ohlc_231222,73089,0
ohlc_231226,64365,ohlc_231226,64365,0
ohlc_231227,67222,ohlc_231227,67222,0
ohlc_231228,58816,ohlc_231228,58816,0
ohlc_231229,75690,ohlc_231229,75690,0
ohlc_240102,80164,ohlc_240102,80164,0
ohlc_240103,76469,ohlc_240103,76469,0
ohlc_240104,68434,ohlc_240104,68434,0
ohlc_240105,82139,ohlc_240105,82139,0
ohlc_240108,88385,ohlc_240108,88385,0
ohlc_240109,68760,ohlc_240109,68760,0
ohlc_240110,76921,ohlc_240110,76921,0
ohlc_240111,80289,ohlc_240111,80289,0
ohlc_240112,74611,ohlc_240112,74611,0
ohlc_240116,78781,ohlc_240116,78781,0
ohlc_240117,80744,ohlc_240117,80744,0
ohlc_240118,77515,ohlc_240118,77515,0
ohlc_240119,101336,ohlc_240119,101336,0
ohlc_240122,82883,ohlc_240122,82883,0
ohlc_240123,67178,ohlc_240123,67178,0
ohlc_240124,87997,ohlc_240124,87997,0
ohlc_240125,69006,ohlc_240125,69006,0
ohlc_240126,73810,ohlc_240126,73810,0
ohlc_240129,75052,ohlc_240129,75052,0
ohlc_240130,66628,ohlc_240130,66628,0
ohlc_240131,91548,ohlc_240131,91548,0
ohlc_240201,81331,ohlc_240201,81331,0
ohlc_240202,100027,ohlc_240202,100027,0
ohlc_240205,84042,ohlc_240205,84042,0
ohlc_240206,67340,ohlc_240206,67340,0
ohlc_240207,84344,ohlc_240207,84344,0
ohlc_240208,61337,ohlc_240208,61337,0
ohlc_240209,80677,ohlc_240209,80677,0
ohlc_240212,82407,ohlc_240212,82407,0
ohlc_240213,103089,ohlc_240213,103089,0
ohlc_240214,80236,ohlc_240214,80236,0
ohlc_240215,74393,ohlc_240215,74393,0
ohlc_240216,81087,ohlc_240216,81087,0
ohlc_240220,85671,ohlc_240220,85671,0
ohlc_240221,75130,ohlc_240221,75130,0
ohlc_240222,99088,ohlc_240222,99088,0
ohlc_240223,82165,ohlc_240223,82165,0
ohlc_240226,71730,ohlc_240226,71730,0
ohlc_240227,65111,ohlc_240227,65111,0
ohlc_240228,66092,ohlc_240228,66092,0
ohlc_240229,73346,ohlc_240229,73346,0
ohlc_240301,91029,ohlc_240301,91029,0
ohlc_240304,71879,ohlc_240304,71879,0
ohlc_240305,92996,ohlc_240305,92996,0
ohlc_240306,82825,ohlc_240306,82825,0
ohlc_240307,80642,ohlc_240307,80642,0
ohlc_240308,99266,ohlc_240308,99266,0
ohlc_240311,79816,ohlc_240311,79816,0
ohlc_240312,87993,ohlc_240312,87993,0
ohlc_240313,69241,ohlc_240313,69241,0
ohlc_240314,82644,ohlc_240314,82644,0
ohlc_240315,85606,ohlc_240315,85606,0
ohlc_240318,76415,ohlc_240318,76415,0
ohlc_240319,71885,ohlc_240319,71885,0
ohlc_240320,88547,ohlc_240320,88547,0
ohlc_240321,79597,ohlc_240321,79597,0
ohlc_240322,68919,ohlc_240322,68919,0
ohlc_240325,65900,ohlc_240325,65900,0
ohlc_240326,60451,ohlc_240326,60451,0
ohlc_240327,67771,ohlc_240327,67771,0
ohlc_240328,69866,ohlc_240328,69866,0
ohlc_240401,72155,ohlc_240401,72155,0
ohlc_240402,77717,ohlc_240402,77717,0
ohlc_240403,70040,ohlc_240403,70040,0
ohlc_240404,94312,ohlc_240404,94312,0
ohlc_240405,95625,ohlc_240405,95625,0
ohlc_240408,73223,ohlc_240408,73223,0
ohlc_240409,82161,ohlc_240409,82161,0
ohlc_240410,94839,ohlc_240410,94839,0
ohlc_240411,87509,ohlc_240411,87509,0
ohlc_240412,110173,ohlc_240412,110173,0
ohlc_240415,116935,ohlc_240415,116935,0
ohlc_240416,93398,ohlc_240416,93398,0
ohlc_240417,99296,ohlc_240417,99296,0
ohlc_240418,86312,ohlc_240418,86312,0
ohlc_240419,105836,ohlc_240419,105836,0
ohlc_240422,100210,ohlc_240422,100210,0
ohlc_240423,86364,ohlc_240423,86364,0
ohlc_240424,81572,ohlc_240424,81572,0
ohlc_240425,90487,ohlc_240425,90487,0
ohlc_240426,85729,ohlc_240426,85729,0
ohlc_240429,76256,ohlc_240429,76256,0
ohlc_240430,89922,ohlc_240430,89922,0
ohlc_240501,94812,ohlc_240501,94812,0
ohlc_240502,79971,ohlc_240502,79971,0
ohlc_240503,90570,ohlc_240503,90570,0
ohlc_240506,79359,ohlc_240506,79359,0
ohlc_240507,73751,ohlc_240507,73751,0
ohlc_240508,66254,ohlc_240508,66254,0
ohlc_240509,70402,ohlc_240509,70402,0
ohlc_240510,75162,ohlc_240510,75162,0
ohlc_240513,63843,ohlc_240513,63843,0
ohlc_240514,68252,ohlc_240514,68252,0
ohlc_240515,92269,ohlc_240515,92269,0
ohlc_240516,69369,ohlc_240516,69369,0
ohlc_240517,67053,ohlc_240517,67053,0
ohlc_240520,68824,ohlc_240520,68824,0
ohlc_240521,55702,ohlc_240521,55702,0
ohlc_240522,68510,ohlc_240522,68510,0
ohlc_240523,87234,ohlc_240523,87234,0
ohlc_240524,71264,ohlc_240524,71264,0
ohlc_240528,67918,ohlc_240528,67918,0
ohlc_240529,70277,ohlc_240529,70277,0
ohlc_240530,72064,ohlc_240530,72064,0
ohlc_240531,93544,ohlc_240531,93544,0
ohlc_240603,87733,ohlc_240603,87733,0
ohlc_240604,74809,ohlc_240604,74809,0
ohlc_240605,90184,ohlc_240605,90184,0
ohlc_240606,68845,ohlc_240606,68845,0
ohlc_240607,81320,ohlc_240607,81320,0
ohlc_240610,68962,ohlc_240610,68962,0
ohlc_240611,70641,ohlc_240611,70641,0
ohlc_240612,98672,ohlc_240612,98672,0
ohlc_240613,72523,ohlc_240613,72523,0
ohlc_240614,71525,ohlc_240614,71525,0
ohlc_240617,89589,ohlc_240617,89589,0
ohlc_240618,71915,ohlc_240618,71915,0
ohlc_240620,80390,ohlc_240620,80390,0
ohlc_240621,76477,ohlc_240621,76477,0
ohlc_240624,74258,ohlc_240624,74258,0
ohlc_240625,62103,ohlc_240625,62103,0
ohlc_240626,62977,ohlc_240626,62977,0
ohlc_240627,61117,ohlc_240627,61117,0
ohlc_240628,85435,ohlc_240628,85435,0
